year,sector_code,source_iso3,target_iso3,coercion_score,dep_target_on_source,dep_source_on_target,replaceability_target,centrality_source
2024,machinery_hightech,IND,MUS,0.24034358999953917,0.07902900896136009,0.00010257484855988791,1.0,0.04376250692353547
2024,machinery_hightech,IND,NGA,0.23982626367590026,0.07768657288822237,4.334320478965758e-06,1.0,0.04376250692353547
2024,machinery_hightech,IND,PRK,0.23920207092344745,0.07613253777506805,1.7227856434509004e-05,1.0,0.04376250692353547
2024,machinery_hightech,IND,GHA,0.23775824365925238,0.0725145030548387,2.947369509428012e-07,1.0,0.04376250692353547
2024,machinery_hightech,IND,BEN,0.23623762872094264,0.0687161583110628,6.679940947863824e-06,1.0,0.04376250692353547
2024,machinery_hightech,IND,ARE,0.23611162683568437,0.07526481308077108,0.013733998906655782,1.0,0.04376250692353547
2024,machinery_hightech,IND,SLE,0.2357326724886873,0.06745957025405853,1.8284988216186717e-05,1.0,0.04376250692353547
2024,machinery_hightech,IND,DJI,0.23290253620071913,0.060389089298577524,2.800451709507037e-05,1.0,0.04376250692353547
2024,machinery_hightech,DEU,IND,0.23268580370680075,0.06447176821277327,0.009277024815078312,1.0,0.04376250692353546
2024,machinery_hightech,IND,SEN,0.2308720494032452,0.05530927322027254,2.080634785457287e-05,1.0,0.04376250692353547
2024,machinery_hightech,IND,SAU,0.23069051651377134,0.05948072467169451,0.009271373698067875,1.0,0.04376250692353547
2024,machinery_hightech,IND,SDN,0.23063559637494566,0.05470862628127477,1.7776113567052445e-06,1.0,0.04376250692353547
2024,machinery_hightech,IND,YEM,0.23023796363090065,0.0538957759225635,0.00036424061415921133,1.0,0.04376250692353547
2024,machinery_hightech,IND,ZMB,0.2301178437467266,0.05341437433764888,2.036865200295125e-06,1.0,0.04376250692353547
2024,machinery_hightech,USA,IND,0.22987823945284017,0.06266569787944856,0.019702705418231884,1.0,0.04376250692353556
2024,machinery_hightech,KOR,IND,0.22818440720876046,0.05132997886933211,0.0055004286183975085,1.0,0.04376250692353548
2024,machinery_hightech,S19,IND,0.2274477236755282,0.049303988257485956,0.005131865060866529,1.0,0.04376250692353548
2024,machinery_hightech,IND,BDI,0.22695674851504163,0.04551061782583632,0.0,1.0,0.04376250692353547
2024,machinery_hightech,IND,RWA,0.22547501442895837,0.04180630384157678,4.246189721059068e-08,1.0,0.04376250692353547
2024,machinery_hightech,IND,MOZ,0.22517241364845125,0.04105715565497958,1.4749991238395063e-05,1.0,0.04376250692353547
2024,machinery_hightech,JPN,IND,0.22450841519793477,0.04264809577608466,0.006516622486030931,1.0,0.04376250692353547
2024,machinery_hightech,IND,BFA,0.22441972987120448,0.03916807197546769,1.518448620032566e-09,1.0,0.04376250692353547
2024,machinery_hightech,IND,GNQ,0.2242521315312295,0.03875096145866899,3.7721847260352217e-06,1.0,0.04376250692353547
2024,machinery_hightech,IND,SUR,0.22402649807433248,0.03818634858545517,2.7137227833663614e-06,1.0,0.04376250692353547
2024,machinery_hightech,IND,SYC,0.22352379611026144,0.03692865047876953,8.273297675219837e-07,1.0,0.04376250692353547
2024,machinery_hightech,IND,LBN,0.22302590610535192,0.03568697982893193,6.936054639707477e-06,1.0,0.04376250692353547
2024,machinery_hightech,VNM,IND,0.2228169836333439,0.03697994594668718,0.003637480650190407,1.0,0.04376250692353548
2024,machinery_hightech,IND,ZAF,0.2223324061846222,0.03412338780463402,0.00034725160969263343,1.0,0.04376250692353547
2024,machinery_hightech,IND,AFG,0.22221363873648137,0.03365290194599894,1.1713312654931216e-07,1.0,0.04376250692353547
2024,machinery_hightech,IND,MDG,0.22184648628372522,0.03274499244190111,2.0060388711701195e-05,1.0,0.04376250692353547
2024,machinery_hightech,IND,MMR,0.22152892902896726,0.03194580170501786,9.4651887350282e-06,1.0,0.04376250692353547
2024,machinery_hightech,IND,BHR,0.22144454039495245,0.031754508251400096,4.882145157342211e-05,1.0,0.04376250692353547
2024,machinery_hightech,IND,TGO,0.22139589626130993,0.03162655494135294,3.613549969182628e-05,1.0,0.04376250692353547
2024,machinery_hightech,IND,JOR,0.2209504836266129,0.03049840585712481,6.900504720615274e-06,1.0,0.04376250692353547
